id;make;model;price
1;mobile Fish;Home Loan Account Table Computer;5808
2;FTP Savings Account;deposit Tasty Metal Bacon Implementation;77
3;Officer;methodology Albania;43194
4;intangible;enable Gorgeous Frozen Pants;23277
5;Licensed Savings Account;Cambridgeshire Mississippi;4645
6;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;23089
7;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;66252
8;hardware Costa Rica Mayotte;Industrial;84228
9;Views e-enable Communications;National Awesome sky blue;4522
10;software scale interactive;Louisiana Specialist Home Loan Account;27599
